p,h_min,kc,shell,k_rms,X,gamma_crit,gamma_poisson,fail_prob,Ij_over_Ic,I_total,t_star
0.0,0.6,1,3-4,3.4081,11.615,0.024438633661161415,0.020873806746011584,0.55,0.14,68.61,91.635
0.0,0.6,1,5-6,5.4438,29.635,0.02645827671031644,0.0225988474863614,0.54,0.06,63.37,91.629
0.0,0.6,1,6-8,7.037,49.52,0.03705940122135812,0.0230925881039179,0.61,0.03,62.02,91.629
0.0,0.6,1,8-10,9.0191,81.345,0.027385193559101198,0.023390556361719016,0.5,0.02,61.23,91.629
0.0,0.6,1,10-12,11.034,121.75,0.02756888757113952,0.023547455203153884,0.5,0.01,60.82,91.629
0.0,0.6,2,3-4,3.4081,2.9037,0.09420087584084184,0.058698790404826506,0.67,0.51,24.4,26.115
0.0,0.6,2,5-6,5.4438,7.4088,0.09113782038788043,0.07784368293276021,0.54,0.22,18.4,22.976
0.0,0.6,2,6-8,7.037,12.38,0.13504391729267393,0.08414905409162445,0.65,0.13,17.02,22.908
0.0,0.6,2,8-10,9.0191,20.3362,0.10331769041656035,0.08824689354981895,0.57,0.08,16.23,22.907
0.0,0.6,2,10-12,11.034,30.4375,0.10598188836550144,0.09052246893142048,0.55,0.05,15.82,22.907
0.0,0.7,1,3-4,3.4081,11.615,0.023389846668642383,0.014574765838943599,0.54,0.14,68.61,91.635
0.0,0.7,1,5-6,5.4438,29.635,0.03471063298297466,0.01577924498159162,0.67,0.06,63.37,91.629
0.0,0.7,1,6-8,7.037,49.52,0.035468992424761835,0.01612399062255796,0.71,0.03,62.02,91.629
0.0,0.7,1,8-10,9.0191,81.345,0.03592665588938555,0.016332041680888233,0.65,0.02,61.23,91.629
0.0,0.7,1,10-12,11.034,121.75,0.03616764420101455,0.01644159351789332,0.64,0.01,60.82,91.629
0.0,0.7,2,3-4,3.4081,2.9037,0.06577409304922317,0.04098539071427603,0.57,0.51,24.4,26.115
0.0,0.7,2,5-6,5.4438,7.4088,0.08722662953021595,0.05435297282335588,0.52,0.22,18.4,22.976
0.0,0.7,2,6-8,7.037,12.38,0.12924849084457188,0.05875558655291118,0.73,0.13,17.02,22.908
0.0,0.7,2,8-10,9.0191,20.3362,0.09888379892702902,0.06161683037276115,0.5,0.08,16.23,22.907
0.0,0.7,2,10-12,11.034,30.4375,0.13903771852469654,0.06320571057747246,0.7,0.05,15.82,22.907
0.0,0.8,1,3-4,3.4081,11.615,0.010675508922623493,0.009118288413983901,0.54,0.14,68.61,91.635
0.0,0.8,1,5-6,5.4438,29.635,0.011557747990924357,0.00987183658982813,0.56,0.06,63.37,91.629
0.0,0.8,1,6-8,7.037,49.52,0.011810262179271582,0.01008751691145604,0.56,0.03,62.02,91.629
