p,h_min,alpha_obs,alpha_err,alpha_poisson,n_points,delta_alpha
0.0,0.6,0.0591,0.0044,0.1092,5,-0.0502
0.0,0.7,0.2122,0.0614,0.1092,5,0.103
0.0,0.8,0.1363,0.0864,0.1092,5,0.027
0.5,0.6,0.0858,0.0217,0.143,5,-0.0573
0.5,0.7,0.1744,0.0159,0.143,5,0.0314
0.5,0.8,0.1212,0.0164,0.143,5,-0.0218
1.0,0.6,0.03,0.03,0.0,5,0.03
1.0,0.7,-0.0092,0.0455,0.0,5,-0.0092
1.0,0.8,0.0107,0.0489,0.0,5,0.0107
1.5,0.6,-0.4417,0.0872,-0.433,5,-0.0088
1.5,0.7,-0.4512,0.1406,-0.433,5,-0.0183
1.5,0.8,-0.4985,0.0818,-0.433,5,-0.0656
2.0,0.6,-1.0874,0.1318,-0.9487,5,-0.1388
2.0,0.7,-1.0911,0.0886,-0.9487,5,-0.1425
2.0,0.8,-0.9464,0.0762,-0.9487,5,0.0022
